履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
後期,水,,,○,,,,ロボット工学,,入江　寿弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,,,,,
前期,水,,,,○,,,数値解析,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,,,,,
前期,木,○,,,,,,微分積分学Ⅰ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
後期,木,○,,,,,,微分積分学Ⅱ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
前期,木,○,,,,,,画像処理,,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
後期,木,○,,,,,,応用情報工学キャリアデザイン,,香取　照臣,高橋　聖,西脇　大輔,保谷　哲也,細野　裕行,松野　裕,望月　寛,吉川　浩,五味　悠一郎,澤邉　知子,滕　琳,村上　知里,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,
前期,木,○,,,,,,組込システムⅡ,,松野　裕,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
前期,木,,○,,,,,物理学Ⅰ,１クラス用,岡田　悟志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
前期,木,,○,,,,,物理学Ⅰ,２クラス用,野手　順一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
後期,木,,○,,,,,物理学Ⅱ,１クラス用,岡田　悟志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
後期,木,,○,,,,,物理学Ⅱ,２クラス用,野手　順一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
前期,木,,○,,,,,情報数学,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
後期,木,,○,,,,,組込回路Ⅱ,,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
